g,Val
1.0,2.278367393856706e-16
2.0,2.0598561393325753e-14
3.0,1.7895564841569204e-16
4.0,7.021772872084255e-15
5.0,1.8430953879831489e-16
6.0,1.1721152286692469e-14
7.0,1.7582225923258048e-16
8.0,7.008961328368329e-15
9.0,1.7657368940476555e-16
10.0,9.984799958217148e-15
11.0,3.264405752451717e-15
12.0,2.253932720726284e-15
13.0,6.294623984278158e-15
14.0,1.0208905879919261e-14
15.0,1.7543470562402025e-16
16.0,1.173415077404755e-15
17.0,9.633201834797734e-12
18.0,3.741335390074108e-16
19.0,2.6693723808808916e-16
20.0,1.7543465148498857e-16
21.0,1.9402176426934561e-16
22.0,6.623236406282068e-12
23.0,2.1903727594903616e-16
24.0,2.294338702626011e-16
25.0,7.835410863413885e-12
26.0,1.8704376169786778e-16
27.0,2.530797959087084e-16
28.0,8.000216681042556e-12
29.0,2.101218344914001e-16
30.0,2.0860182888079012e-16
31.0,1.8704900816814816e-16
32.0,2.3297920880788704e-16
33.0,7.876975443563242e-12
34.0,2.0917405231772567e-16
35.0,1.870436950038813e-16
36.0,1.816826422002961e-16
37.0,7.112817695299181e-12
38.0,1.7803384238263086e-16
39.0,1.7646150207617012e-16
40.0,1.8299407166788338e-16
41.0,7.149869922627967e-12
42.0,1.7858407705359337e-16
43.0,1.7662433547369688e-16
44.0,0.0
45.0,0.0
46.0,0.0
47.0,1.8679989980473702e-16
48.0,2.2841185559829e-16
49.0,8.215085817093272e-12
50.0,2.1956787382958692e-16
51.0,1.9758849092186798e-16
52.0,2.0356162280156792e-16
53.0,1.7917704928385987e-16
54.0,1.7543466616085588e-16
55.0,1.7545005770332388e-16
56.0,1.7543509160500264e-16
57.0,2.345466368625973e-16
58.0,2.0553167043178904e-16
59.0,7.706123694987105e-12
60.0,2.0032959869049634e-16
61.0,1.9313404379185332e-16
62.0,2.0608343117318108e-16
63.0,1.8107516096391965e-16
64.0,7.096838203612786e-12
65.0,1.756088098120546e-16
66.0,1.754346558148883e-16
67.0,1.777993203462192e-16
68.0,1.7543465571805405e-16
69.0,1.754479095940077e-16
70.0,1.754352375383631e-16
