line,x,annual_inv_cost
NO1-NO2,463.6766354214227,1.6877403342690203e7
NO1-NO3,7.928223109089891e-15,4.5090630308465624e-10
NO1-NO5,4.894194864677362e-15,2.560822797278762e-10
NO2-NO5,2.2309863819070808e-14,1.1927109761983074e-9
NO5-NO3,3.237647602052428e-15,2.5779118059404925e-10
NO3-NO4,2.19402571940067e-15,2.869987421530445e-10
NO2-DE,4146.709759244791,2.938543500928394e8
NO4-SE1,0.0,0.0
NO4-SE2,0.0,0.0
NO3-SE2,0.0,0.0
NO1-SE3,0.0,0.0
NO2-DK1,0.0,0.0
NO2-NL,0.0,0.0
SE1-SE2,0.0,0.0
SE2-SE3,0.0,0.0
SE3-SE4,0.0,0.0
SE3-DK1,0.0,0.0
SE4-DK2,0.0,0.0
SE4-DE,0.0,0.0
SE4-PL,0.0,0.0
DK1-DE,0.0,0.0
DK1-DK2,0.0,0.0
DK2-DE,0.0,0.0
DE-PL,0.0,0.0
DE-CZ,0.0,0.0
DE-AT,0.0,0.0
DE-FR,0.0,0.0
DE-BE,0.0,0.0
DE-NL,0.0,0.0
PL-CZ,0.0,0.0
CZ-AT,0.0,0.0
FR-BE,0.0,0.0
BE-NL,0.0,0.0
