mechanism,avg_DE_comp,std_DE_comp,avg_DE_net_welfare_delta,avg_NO_net_welfare_delta,std_DE_net_welfare_delta,std_NO_net_welfare_delta,std_DE_net_welfare,std_NO_net_welfare,prob_DE_loss,prob_NO_loss,avg_DE_loss,avg_NO_loss,CVaR_90_DE_loss,CVaR_90_NO_loss,CVaR_80_DE_loss,CVaR_80_NO_loss
no_compensation,0.0,0.0,-6.530149743407821e6,6.769177100536013e6,9.577179630903566e6,1.4484409304688148e7,1.6129012155099077e9,5.86303010720527e8,0.7999999999999999,0.4333333333333333,8.366382624439494e6,3.108823282960383e6,1.7380952713797893e7,1.3559728218824709e7,1.6272479206130031e7,1.07724615770642e7
lump_sum,6.649663421970844e6,0.0,119513.67856302261,119513.67856516837,9.577179630903566e6,1.4484409304688148e7,1.6129012155099077e9,5.86303010720527e8,0.6333333333333333,0.4666666666666666,3.776678594515244e6,6.0305281097997185e6,1.0731289291827045e7,2.0209391640795555e7,9.622815784159185e6,1.7422124999035046e7
PPA_DE,6.64966342197814e6,1.0009519000207234e7,119513.67857032226,119513.67855786867,1.2000187867395626e7,1.6269464829178615e7,1.6184178650072873e9,5.82939201130816e8,0.5666666666666667,0.5333333333333333,4.5188457825853275e6,6.325934440173793e6,1.2547251434681231e7,2.7784200449501205e7,1.1136378959812094e7,2.1131220748806e7
PPA_NO,6.649663421976741e6,1.6203314788169928e7,119513.67856891864,119513.67855927236,7.2788530684524225e6,1.6085751468897639e7,1.619258789725117e9,5.803045305191898e8,0.36666666666666664,0.5333333333333333,2.6658045815578867e6,6.686017261011366e6,1.6422640472229306e7,2.6211347846469454e7,1.1566505932294883e7,2.0868376438360542e7
flow,6.649663421970204e6,1.7185164883903249e6,119513.67856238125,119513.6785658095,1.0461008038335364e7,1.3894088562297553e7,1.612034647413739e9,5.872122838361989e8,0.5666666666666667,0.4333333333333333,4.0181200118402042e6,5.831604062408966e6,1.2353010879793515e7,1.9707982826831773e7,1.1110611868317364e7,1.770528329456087e7
flow_value_DE,6.649663421971038e6,2.1710120351995467e6,119513.67856321944,119513.67856497238,8.40713803657132e6,1.3036556900204068e7,1.6129527230658379e9,5.863044739981383e8,0.5666666666666667,0.4666666666666666,3.2538394246885846e6,5.500596202865374e6,1.0845865535660613e7,1.7899750554581504e7,9.382188271902813e6,1.5576772332198907e7
flow_value_NO,6.649663421970915e6,1.4671015316568215e6,119513.67856309327,119513.67856509778,1.0150534941470813e7,1.3782556041776432e7,1.6126029993975623e9,5.868237154224294e8,0.6333333333333333,0.4333333333333333,4.0061811704252805e6,5.791243064705592e6,1.2196206769672781e7,1.9503659090507627e7,1.0546737589234404e7,1.729524636051545e7
flow_value_avg,6.649663421970767e6,1.4814084274454673e6,119513.6785629442,119513.67856524655,9.419984121268243e6,1.3443671003532069e7,1.6127463284984736e9,5.866096559555807e8,0.5666666666666667,0.4666666666666666,3.6909998858454837e6,5.665347546411057e6,1.1641616155443944e7,1.8832370415586744e7,1.0068452467717614e7,1.639977103455318e7
uncon_flow_value,6.649663421970882e6,3.1089065745953755e6,119513.6785630618,119513.67856512945,8.274973623458819e6,1.4285991360921169e7,1.6131972499678504e9,5.862350867339801e8,0.6666666666666666,0.49999999999999994,3.084061091879255e6,6.088237826372436e6,1.0974366715460949e7,2.0136737835003793e7,8.98117100163242e6,1.734961384878432e7
con_flow_value,6.649663421970932e6,2.0146496826284311e6,119513.67856311004,119513.6785650809,1.0280920887020785e7,1.3188498299220111e7,1.6125025638158667e9,5.868177548274466e8,0.5666666666666667,0.4333333333333333,4.11839122118908e6,5.530391819984447e6,1.3062852157641584e7,1.8121896033063166e7,1.1279043794707237e7,1.6334962228039458e7
flow_value_halved,6.649663421970804e6,740704.2137227337,119513.67856298324,119513.67856520774,9.469983766171059e6,1.3954087528256595e7,1.6128236037758722e9,5.864558856192061e8,0.6333333333333333,0.4666666666666666,3.719357508186199e6,5.847937828105388e6,1.0810232051557997e7,1.952088102819115e7,9.705772400797091e6,1.691094801679411e7
flow_value_doubled,6.649663421970686e6,2.9628168548909347e6,119513.67856286535,119513.67856532571,9.494154720938055e6,1.2492221942252474e7,1.612592787506857e9,5.869198801221105e8,0.5333333333333333,0.4333333333333333,3.734462974220181e6,5.32161739173969e6,1.3304384363215838e7,1.745534919037794e7,1.1416709753600638e7,1.538563748780537e7
flow_value_tripled,6.64966342197061e6,4.444225282336402e6,119513.67856278649,119513.67856540451,9.7944366220364e6,1.1651955626228254e7,1.6124405929195719e9,5.872336775480767e8,0.5666666666666667,0.4333333333333333,3.8853640879263515e6,4.987254038035661e6,1.5659207324490951e7,1.6078327965169126e7,1.290308750829258e7,1.4773353909071172e7
flow_value_quadrupled,6.649663421970529e6,5.925633709781869e6,119513.67856270807,119513.67856548316,1.030107496715164e7,1.0948500930926725e7,1.612289745117907e9,5.875510425082933e8,0.5333333333333333,0.4333333333333333,4.093266015959839e6,4.652890684331631e6,1.8158465056956034e7,1.6028026561465565e7,1.4389465262984518e7,1.4415630595601687e7
flow_value_squared,6.649663421970845e6,2.7347033419481795e6,119513.67856302342,119513.67856516776,9.36997191436402e6,1.2536181554818857e7,1.612676136132166e9,5.867711581369084e8,0.5333333333333333,0.4333333333333333,3.716558252935903e6,5.356964460059237e6,1.2938257788509494e7,1.786584118443198e7,1.1017562674910376e7,1.5592155500617165e7
flow_value_squared_adj,6.649663421970845e6,5.721188099781242e6,119513.67856302498,119513.6785651662,9.742083924907187e6,1.0686435843167957e7,1.6126852647898898e9,5.868676642750553e8,0.5333333333333333,0.4333333333333333,4.008237933848172e6,4.67331965609163e6,1.5434625592541706e7,1.6350076090019906e7,1.2908075091340063e7,1.427936723655031e7
ideal,6.649663421971917e6,9.962132424217578e6,119513.67856409549,119513.67856409549,7.177475799786315e6,7.177475799786315e6,1.6149556867975101e9,5.835179696542549e8,0.4666666666666666,0.4666666666666666,2.9138111250697533e6,2.9138111250697533e6,1.1740095288312916e7,1.1740095288312916e7,9.576033105971815e6,9.576033105971815e6
